"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"202","29","-17.7","-","-3.9","0.9","10.9","14.2","12.9","14.3","8.0","-5.1","-6.4","-6.9"
"203","30","-13.9","-","-3.7","5.4","11.1","14.4","13.2","14.0","9.0","-0.9","-11.8","-7.7"
"204","31","-11.7","-","-5.0","-","12.0","-","14.5","13.7","-","-3.0","-","-12.6"
"205","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"206","Minimum","-25.4","-24.1","-9.8","-5.2","3.9","9.5","10.0","11.2","2.0","-5.1","-12.8","-12.6"
"207","Date","7","16","2","2","4","1","22","17","26","29","11","31"
"208","Maximum","-2.8","-5.7","1.6","5.4","14.4","24.1","17.5","19.1","14.4","8.8","3.8","2.0"
"209","Date","13","22","17","30","27","20","9","3","18","6","20","9"
"210","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"211","Mean","-11.9","-14.5","-3.7","0.6","9.8","17.0","13.2","14.7","8.7","4.6","-3.5","-3.9"
"212","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"213","Deviation","-4.7","-7.4","-1.4","-2.2","0.4","2.9","-2.0","0.8","-0.6","-0.1","-2.0","1.8"
"214","%","-","-","-","-","-","-","-","-","-","-","-","-"
"215","4780 GARDERMOEN, TAM 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"217","1","-14.9","-5.7","-11.6","-1.5","3.8","19.1","16.6","15.8","7.8","10.9","-0.1","0.0"
"218","2","-13.4","-9.0","-10.5","1.0","7.5","18.3","18.8","16.9","13.6","8.8","7.9","-2.4"
"219","3","-7.1","-3.0","-12.5","3.1","10.3","16.5","21.1","14.7","11.1","8.2","8.6","-5.5"
"220","4","-5.7","1.0","-18.0","1.7","8.8","15.1","21.4","12.0","9.6","4.3","1.4","2.4"
"221","5","-15.1","-3.4","-14.5","-1.5","8.8","14.9","19.1","15.4","9.6","1.8","-1.7","-2.3"
"222","6","-18.8","0.8","-10.9","-0.5","8.8","14.9","17.9","15.3","9.3","8.7","-3.1","-5.7"
"223","7","-6.4","-1.2","-4.0","1.7","9.5","14.9","19.3","14.7","12.3","13.3","-5.0","0.2"
"224","8","3.1","-2.6","-0.6","4.3","9.8","10.5","22.1","16.1","13.8","9.8","-6.1","-5.1"
"225","9","2.3","-7.6","-1.6","4.3","12.2","10.5","20.9","12.9","12.5","8.2","-4.0","-5.5"
"226","10","3.3","-8.0","-8.7","2.9","11.8","9.4","17.5","13.8","10.4","6.1","-5.4","-11.4"
"227","11","0.2","-1.6","-4.6","3.5","13.0","13.7","18.0","12.4","12.4","11.6","2.7","-1.1"
"228","12","-3.3","1.2","-9.4","4.4","12.3","14.2","16.0","13.2","9.3","1.9","-6.2","-7.3"
"229","13","-6.7","2.5","-4.9","3.8","11.7","14.0","11.7","12.5","6.3","-1.1","-6.1","-5.9"
"230","14","-7.1","0.4","-4.9","3.7","11.5","10.8","10.9","10.4","4.7","-2.0","-4.9","-4.4"
"231","15","-6.6","-0.6","-0.5","1.9","11.1","10.8","11.3","12.3","5.5","-2.0","-2.0","0.5"
"232","16","-9.7","1.3","0.1","2.2","9.7","9.0","9.2","13.6","5.1","4.5","-0.8","4.1"
"233","17","-9.2","-0.9","0.5","2.3","10.8","10.2","13.7","14.7","9.2","4.5","-1.3","1.0"
"234","18","0.7","-0.5","0.9","2.5","10.3","9.4","11.9","13.6","9.3","2.3","-10.9","2.6"
"235","19","-0.7","-1.9","-0.5","5.8","10.4","9.6","11.6","14.3","11.6","4.4","-17.6","0.0"
"236","20","0.7","-7.0","-0.4","6.6","9.3","10.1","12.4","16.1","11.4","6.8","-15.5","-0.9"
"237","21","-1.7","-1.3","-0.1","8.0","8.0","11.8","12.1","16.6","11.1","5.9","-8.3","3.8"
"238","22","-0.8","-0.7","-2.8","6.7","7.7","8.9","11.7","12.2","11.8","6.8","-6.0","0.4"
"239","23","-0.3","-5.9","-3.8","3.7","5.5","12.7","12.6","12.0","8.1","5.0","-6.4","-4.9"
"240","24","0.3","-1.1","-1.2","0.6","4.8","11.2","9.8","12.7","10.0","7.3","-13.3","4.1"
"241","25","1.3","-6.7","2.6","0.1","5.3","13.8","14.4","13.7","9.1","4.6","-8.5","1.5"
"242","26","0.3","-8.0","0.4","-1.4","3.8","14.2","15.6","13.1","5.6","3.8","-5.4","-0.9"
"243","27","-1.3","-9.5","-5.6","1.3","6.5","13.6","15.8","10.9","3.7","-0.2","1.9","0.2"
"244","28","-6.3","-8.6","-7.4","2.5","13.3","12.2","15.5","11.6","1.8","-0.7","3.6","-1.2"
