"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"11205","24","-3.0","-8.5","-0.1","1.5","6.9","7.1","8.9","11.0","9.7","-3.5","6.7","-11.2"
"11206","25","-7.6","-6.0","-0.6","4.2","8.9","6.8","10.9","11.1","8.7","-0.7","8.2","-5.4"
"11207","26","-7.8","-2.4","-3.5","5.0","9.5","7.1","11.6","10.5","6.6","-1.0","2.8","-3.3"
"11208","27","-9.1","0.8","-2.1","4.6","13.1","7.1","12.3","11.0","2.1","0.8","3.3","-4.9"
"11209","28","-10.3","2.4","1.3","3.1","11.2","8.1","13.5","11.3","4.7","2.0","3.5","-8.9"
"11210","29","-11.1","-","4.2","-1.2","11.9","11.1","11.3","11.1","3.4","0.5","3.7","-7.6"
"11211","30","-10.3","-","1.4","-2.9","10.5","9.8","11.7","12.5","4.7","0.4","6.1","-3.8"
"11212","31","-10.6","-","-0.1","-","10.8","-","10.3","14.3","-","0.5","-","-3.1"
"11213","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"11214","Minimum","-11.1","-11.0","-3.7","-5.0","-2.0","3.5","7.1","6.7","2.1","-3.5","-3.3","-11.7"
"11215","Date","29","1","15","19","1","9","2","7","27","24","22","22"
"11216","Maximum","4.1","3.9","4.2","5.0","13.1","16.4","16.6","16.7","12.6","7.7","8.2","0.6"
"11217","Date","16","12","29","26","27","21","9","4","13","3","25","4"
"11218","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11219","Mean","-5.4","-2.9","-0.1","0.9","5.7","8.3","10.8","11.0","9.4","2.5","3.1","-5.5"
"11220","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11221","Deviation","-1.6","0.8","2.2","0.2","0.6","-0.9","-1.0","0.1","2.4","-0.7","3.7","-2.8"
"11222","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11224","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11225","1","-5.0","-5.2","2.2","-1.9","0.5","5.4","11.6","8.9","10.7","9.7","-5.4","4.6"
"11226","2","-4.3","-4.7","-1.9","-2.3","0.8","7.4","11.8","9.3","12.6","6.4","-5.4","4.0"
"11227","3","-8.4","-2.3","-1.3","-0.8","0.3","10.9","10.3","9.6","12.1","3.5","-11.4","1.5"
"11228","4","-9.3","-1.7","-0.7","-0.4","0.3","11.0","8.4","9.2","12.2","-0.1","-5.7","3.7"
"11229","5","-7.5","-3.7","-3.9","-1.3","0.8","7.2","8.6","10.6","12.3","-4.0","-0.8","5.0"
"11230","6","-10.3","-5.2","-3.6","-3.6","0.9","10.1","8.3","7.3","8.8","1.2","-1.0","1.1"
"11231","7","-8.1","-3.3","0.6","-4.8","2.6","6.2","8.3","7.0","10.5","4.1","1.6","1.2"
"11232","8","-7.7","-1.6","-0.9","-0.4","1.8","4.6","8.4","7.1","11.1","0.5","1.6","0.3"
"11233","9","-9.1","-3.4","-5.2","-0.8","1.6","4.3","7.9","8.5","9.5","0.2","2.4","4.3"
"11234","10","-11.8","-2.3","-5.4","1.1","1.7","3.3","6.6","6.4","8.5","0.9","2.6","4.5"
"11235","11","-7.3","-3.1","-7.5","3.2","2.0","5.4","6.6","7.2","7.5","0.5","1.2","4.0"
"11236","12","-7.1","-4.6","-7.4","2.2","3.3","7.4","7.0","7.0","5.2","-1.9","0.8","2.0"
"11237","13","-9.4","-3.8","-8.0","2.4","2.4","8.7","8.5","8.0","4.6","2.1","2.2","4.1"
"11238","14","-11.5","-6.1","-8.8","3.3","1.8","6.6","10.4","8.8","5.5","-0.4","4.4","5.9"
"11239","15","-12.3","-9.1","-7.7","2.6","2.8","6.5","10.3","8.6","4.1","-2.6","6.0","1.0"
"11240","16","-10.1","-3.3","-7.3","1.1","2.2","5.2","9.3","7.7","2.9","-3.9","4.3","-3.1"
"11241","17","-7.1","-3.7","-5.6","1.5","1.0","6.1","10.6","13.1","2.2","-2.6","1.7","-2.7"
"11242","18","-7.3","-6.9","-6.5","-0.2","2.9","6.9","10.0","9.4","0.7","-0.8","-1.5","-0.2"
"11243","19","-6.9","-3.8","-3.0","0.5","1.9","4.9","9.1","9.2","0.8","0.9","5.6","-5.6"
"11244","20","1.6","-5.0","-4.7","0.3","0.4","5.0","8.6","10.0","0.8","0.1","4.7","-2.6"
"11245","21","1.5","-4.9","-5.2","1.6","0.4","6.6","8.7","12.2","1.5","-1.3","3.8","-2.5"
"11246","22","-0.6","-4.5","-3.2","1.3","1.0","7.7","8.8","14.0","-0.5","-5.2","3.4","1.2"
"11247","23","-3.5","-7.8","-0.4","1.5","2.4","9.1","9.5","15.0","1.3","-7.4","0.3","2.2"
"11248","24","-6.0","-5.5","0.5","2.3","5.4","9.5","9.7","11.0","0.1","-4.9","-0.7","1.1"
"11249","25","-3.7","-0.9","0.5","0.1","6.9","16.7","9.7","9.2","1.6","-1.6","2.7","0.6"
"11250","26","-6.7","0.5","-1.6","1.7","6.5","11.5","8.8","9.7","0.9","-5.5","3.1","0.5"
"11251","27","-8.5","2.1","1.3","0.9","7.0","12.7","9.9","10.6","-0.4","-4.6","2.9","-4.6"
"11252","28","-5.8","2.3","2.1","0.5","8.3","11.7","10.2","10.0","5.2","-1.0","1.5","-2.9"
"11253","29","-4.2","4.2","1.8","0.1","7.4","9.9","9.2","6.7","10.1","-1.2","0.1","0.7"
"11254","30","-5.4","-","1.6","-0.2","4.0","9.3","9.3","6.0","9.4","-5.2","4.1","-3.1"
"11255","31","-3.4","-","-0.2","-","3.9","-","10.2","7.5","-","-5.3","-","-6.4"
"11256","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"11257","Minimum","-12.3","-9.1","-8.8","-4.8","0.3","3.3","6.6","6.0","-0.5","-7.4","-11.4","-6.4"
"11258","Date","15","15","14","7","3","10","10","30","22","23","3","31"
"11259","Maximum","1.6","4.2","2.2","3.3","8.3","16.7","11.8","15.0","12.6","9.7","6.0","5.9"
"11260","Date","20","29","1","14","28","25","2","23","2","1","15","14"
"11261","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11262","Mean","-6.6","-3.4","-2.9","0.4","2.7","7.9","9.2","9.2","5.7","-0.9","1.0","0.6"
"11263","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11264","Deviation","-2.8","0.3","-0.6","-0.3","-2.4","-1.3","-2.6","-1.7","-1.2","-4.1","1.6","3.3"
"11265","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11267","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11268","1","-8.8","-2.2","3.2","-3.8","1.1","4.5","15.9","10.8","10.1","5.0","1.2","3.7"
"11269","2","-7.9","-3.2","2.9","-3.3","1.7","3.6","14.1","15.2","9.1","4.0","-0.8","1.6"
"11270","3","-4.2","-6.4","2.6","-1.7","2.2","4.6","13.4","17.2","8.3","3.2","-1.1","-1.0"
"11271","4","-2.6","-2.5","-2.8","0.1","2.2","4.5","11.8","17.1","8.9","1.0","-1.2","-2.7"
"11272","5","-0.6","0.2","-5.0","-5.1","2.8","6.6","13.7","16.4","8.3","3.3","-0.4","-5.5"
"11273","6","-4.1","2.4","-5.3","-8.6","3.7","6.9","11.5","15.1","7.8","6.6","4.0","-6.0"
"11274","7","-1.6","-1.5","-4.3","-4.2","2.7","7.8","12.4","16.5","8.9","9.2","1.8","-0.8"
"11275","8","-2.8","0.3","-3.8","2.2","3.4","8.3","13.1","12.9","8.8","9.8","1.5","-2.5"
"11276","9","1.0","-2.6","-3.8","2.0","4.1","8.5","14.3","13.7","10.3","7.8","2.0","-0.8"
"11277","10","-3.5","-3.2","-5.5","3.5","4.9","7.6","12.2","13.3","9.1","2.0","2.1","5.9"
"11278","11","-6.1","-6.0","-6.8","2.3","3.1","7.5","11.5","15.5","8.1","1.8","1.1","5.0"
"11279","12","-5.0","-9.8","-8.2","1.9","6.0","7.4","11.3","13.6","6.1","2.4","2.0","-0.6"
"11280","13","-5.0","-10.3","-3.9","0.5","4.9","8.6","12.2","11.9","4.1","0.7","1.3","-0.4"
"11281","14","-8.5","-12.3","1.5","-1.7","5.4","8.2","10.8","12.3","6.6","4.7","-0.6","-3.1"
"11282","15","-7.7","-12.5","0.9","-3.2","5.6","8.6","11.5","11.7","7.1","6.3","2.4","-4.7"
"11283","16","-5.1","-8.7","-3.2","-1.6","5.9","7.3","11.2","11.2","6.9","9.7","0.3","-2.9"
"11284","17","0.8","-3.6","-5.5","-1.2","6.5","7.8","16.3","11.0","7.5","6.1","0.2","-3.8"
"11285","18","-0.8","-3.2","-4.5","-1.3","6.8","10.0","16.4","9.5","7.4","9.1","-0.1","-5.1"
"11286","19","-1.1","-5.8","0.2","-0.3","4.6","8.8","13.9","10.0","7.9","9.4","-3.4","0.4"
"11287","20","-7.4","-5.8","-2.3","1.5","4.0","11.3","16.2","11.7","7.3","7.7","-2.5","-0.8"
"11288","21","-2.4","-7.4","-2.6","2.3","4.9","10.3","14.4","11.8","8.0","2.3","-1.1","-2.6"
"11289","22","-4.1","-5.9","0.7","4.0","5.3","10.7","13.4","9.2","6.6","2.3","-2.3","-5.0"
"11290","23","-5.2","-0.7","-0.3","4.5","5.9","14.3","12.8","10.0","5.0","5.1","-6.2","-3.3"
"11291","24","-2.8","-4.5","-2.6","4.8","7.2","17.4","11.4","10.0","5.1","3.3","-6.8","-3.0"
"11292","25","-3.4","-2.9","-0.9","4.2","6.3","16.3","10.2","12.7","8.4","6.1","-4.0","2.5"
"11293","26","-9.0","-1.5","-5.0","4.2","5.7","18.4","11.1","11.9","10.5","5.0","-2.3","1.1"
"11294","27","-5.8","0.6","-1.5","5.4","6.0","15.2","13.4","13.7","8.2","2.1","-2.6","1.8"
"11295","28","-1.3","0.8","-3.8","5.6","2.8","11.6","14.6","12.3","5.9","2.5","-1.7","0.0"
"11296","29","-1.6","-","-4.2","0.7","3.7","11.4","14.3","10.9","5.3","-0.7","-3.9","1.6"
"11297","30","-2.2","-","-3.8","0.2","6.0","14.3","13.7","11.1","6.7","1.2","-0.5","3.4"
"11298","31","-1.2","-","-5.4","-","7.5","-","10.2","10.5","-","0.9","-","-2.7"
"11299","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"11300","Minimum","-9.0","-12.5","-8.2","-8.6","1.1","3.6","10.2","9.2","4.1","-0.7","-6.8","-6.0"
"11301","Date","26","15","12","6","1","2","25","22","13","29","24","6"
"11302","Maximum","1.0","2.4","3.2","5.6","7.5","18.4","16.4","17.2","10.5","9.8","4.0","5.9"
"11303","Date","9","6","1","28","31","26","18","3","26","8","6","10"
"11304","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11305","Mean","-3.9","-4.2","-2.7","0.5","4.6","9.6","13.0","12.6","7.6","4.5","-0.7","-1.0"
"11306","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11307","Deviation","-0.1","-0.5","-0.4","-0.2","-0.5","0.4","1.2","1.7","0.7","1.3","-0.1","1.7"
"11308","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11310","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11311","1","-5.0","-8.3","0.6","-0.5","1.6","8.5","12.5","10.4","8.6","10.5","-4.3","-4.7"
"11312","2","-6.1","-10.0","-1.4","-2.9","3.8","7.4","18.1","12.5","10.2","9.0","-3.2","-5.7"
"11313","3","-2.9","-11.7","-1.1","-1.9","5.6","8.5","15.9","14.6","10.0","7.1","-2.6","-3.9"
"11314","4","-7.9","-9.1","-2.3","-0.9","6.0","9.8","13.2","14.1","10.7","6.3","-5.1","-2.1"
"11315","5","-3.1","-7.7","-3.0","-0.5","6.4","9.3","10.4","13.8","11.1","4.5","-4.1","-1.3"
"11316","6","-3.3","-4.0","-5.4","-1.3","5.8","8.2","12.0","13.3","4.7","6.9","-2.7","-3.0"
"11317","7","-3.2","-6.6","-3.3","0.5","8.2","11.5","11.4","8.7","4.0","8.1","-3.7","-2.3"
"11318","8","-4.1","-7.7","-3.9","-0.1","9.7","13.3","11.0","8.6","4.5","8.1","-4.7","-1.6"
"11319","9","-0.2","-7.5","-0.7","-0.1","7.1","12.2","11.2","11.1","5.6","7.4","-8.8","0.5"
"11320","10","-4.5","-4.2","-0.3","0.2","6.1","12.6","16.7","12.6","7.4","10.0","-6.7","1.4"
"11321","11","-7.7","-8.1","-1.1","0.2","6.4","6.9","14.6","11.9","10.7","5.7","-5.4","-2.7"
"11322","12","-9.9","-6.7","-1.2","0.3","4.0","6.5","10.5","11.2","9.3","3.6","-5.0","-6.4"
"11323","13","-9.3","-9.9","-1.0","-1.1","1.0","5.5","10.1","12.1","8.3","3.0","-5.4","-6.3"
"11324","14","-7.0","-8.9","-2.5","-4.3","0.7","5.7","9.7","15.0","9.4","5.0","-4.7","-0.7"
"11325","15","-6.8","-12.8","-4.0","-4.0","1.4","7.7","8.2","16.5","8.3","9.1","-2.3","1.5"
"11326","16","-2.1","-12.4","-2.2","2.0","2.3","10.0","7.9","14.0","8.6","8.1","-2.0","4.8"
"11327","17","0.1","-12.9","-5.3","0.1","3.0","8.2","8.8","14.8","8.3","7.9","-4.7","4.5"
"11328","18","0.4","-7.7","-3.0","1.3","2.7","7.9","11.3","15.0","8.3","7.3","-3.3","3.9"
"11329","19","-3.3","-5.1","-1.9","2.1","3.4","7.4","15.1","15.3","9.6","4.8","-1.5","3.8"
"11330","20","0.9","-7.7","-3.4","1.5","2.1","7.8","14.7","14.5","7.5","5.3","5.7","2.1"
"11331","21","4.0","-9.0","-6.7","0.3","3.1","8.6","18.6","13.1","6.6","-0.9","5.3","-1.1"
"11332","22","0.6","-7.3","-3.5","0.1","1.1","8.9","13.0","11.6","4.7","-1.6","3.5","-2.3"
"11333","23","-2.2","-4.1","-1.8","0.0","2.6","11.1","10.2","9.1","5.6","2.2","2.7","-3.1"
"11334","24","-4.6","-8.1","1.3","-0.2","4.9","15.8","9.5","10.2","4.9","5.8","2.3","0.8"
"11335","25","-3.0","-9.3","4.6","-0.6","7.2","18.4","10.4","7.7","5.1","4.2","1.7","2.8"
"11336","26","-2.3","-3.9","2.8","1.6","6.1","17.2","11.3","7.6","3.6","0.4","1.0","3.4"
"11337","27","-1.7","0.1","0.5","2.6","5.1","11.5","14.3","9.9","2.9","-0.6","1.7","-1.2"
"11338","28","0.2","1.5","0.9","0.0","9.8","11.6","19.4","10.0","7.0","0.1","-2.7","-3.6"
"11339","29","0.2","-","-0.2","-0.3","13.2","13.4","17.0","9.2","7.8","0.9","-4.4","-5.7"
"11340","30","-3.0","-","-1.4","1.4","9.6","13.1","12.8","6.9","9.6","-0.8","-1.6","-6.1"
"11341","31","3.2","-","-2.2","-","12.6","-","15.2","7.7","-","-1.1","-","-6.1"
"11342","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"11343","Minimum","-9.9","-12.9","-6.7","-4.3","0.7","5.5","7.9","6.9","2.9","-1.6","-8.8","-6.4"
"11344","Date","12","17","21","14","14","13","16","30","27","22","9","12"
"11345","Maximum","4.0","1.5","4.6","2.6","13.2","18.4","19.4","16.5","11.1","10.5","5.7","4.8"
"11346","Date","21","28","25","27","29","25","28","15","5","1","20","16"
"11347","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11348","Mean","-3.0","-7.5","-1.7","-0.1","5.2","10.2","12.7","11.7","7.4","4.7","-2.2","-1.3"
"11349","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11350","Deviation","0.8","-3.8","0.6","-0.8","0.1","1.0","0.9","0.8","0.5","1.5","-1.6","1.4"
"11351","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11353","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11354","1","-5.9","-5.1","-5.1","-2.7","1.4","12.9","11.3","16.7","8.2","6.9","4.7","2.7"
"11355","2","-1.1","-2.7","-3.2","0.6","0.4","9.0","12.2","16.5","8.2","5.2","6.0","1.1"
"11356","3","-6.2","-2.0","-4.2","-4.7","1.4","6.8","11.9","14.9","8.8","3.5","4.5","-0.7"
"11357","4","-8.7","0.6","-4.7","-2.0","2.3","6.5","13.0","12.9","8.8","2.9","-1.1","-0.7"
"11358","5","-5.8","-3.4","-0.2","-0.1","4.9","6.2","16.1","14.0","8.0","4.8","-5.4","0.2"
"11359","6","-5.0","-3.4","0.0","0.8","2.9","6.8","11.4","15.3","7.5","8.2","-4.2","4.4"
"11360","7","-4.8","-7.0","-2.7","3.0","0.7","4.5","9.8","12.2","10.4","4.9","-4.8","-1.9"
"11361","8","-4.0","-6.5","-4.2","3.2","2.1","3.0","10.3","10.1","14.2","0.2","-8.2","-3.1"
"11362","9","2.7","-6.2","-7.9","-0.5","4.6","3.2","11.5","9.8","14.7","-1.4","-7.9","-4.0"
"11363","10","3.4","-0.2","-4.2","-0.1","5.8","5.5","10.6","10.8","9.8","-0.9","-3.1","-5.5"
"11364","11","1.8","2.2","-4.5","2.5","5.6","8.3","10.7","11.6","6.4","-2.0","-1.5","-3.4"
"11365","12","-3.4","2.2","-4.6","-0.5","5.4","8.6","7.8","11.3","3.6","1.3","-2.0","-6.2"
"11366","13","1.2","2.7","-8.5","-0.4","0.9","7.9","7.0","12.0","4.5","0.9","-4.1","-3.1"
"11367","14","3.6","2.9","-5.2","-0.9","0.0","8.6","7.1","11.3","3.6","-0.8","-3.3","0.5"
"11368","15","0.2","2.0","-3.5","2.4","0.6","12.6","8.7","10.3","5.1","1.3","-2.3","1.9"
"11369","16","-3.9","-2.8","-8.5","2.7","1.8","10.7","11.8","10.1","7.8","2.5","-4.0","4.5"
"11370","17","-9.6","-4.6","-7.7","3.3","2.9","10.0","7.9","8.8","9.6","5.2","-5.9","1.1"
"11371","18","-12.1","-7.6","-5.5","2.5","2.5","14.6","9.2","9.1","9.1","5.0","-7.1","-2.5"
"11372","19","-13.7","-6.4","-2.4","2.2","2.5","16.0","9.4","9.6","9.8","3.7","-8.1","-2.0"
"11373","20","-5.3","-4.0","-3.1","-0.2","3.2","16.6","9.1","8.8","5.6","4.1","-6.1","-2.2"
"11374","21","-3.0","-5.8","-4.1","-1.7","4.7","13.1","8.9","7.7","4.5","0.9","-3.0","0.4"
"11375","22","-1.5","-8.2","-5.9","-2.4","5.0","14.1","10.1","8.0","4.5","-1.9","-1.4","-2.2"
"11376","23","0.1","-11.1","-6.3","-0.4","3.5","10.6","9.6","11.1","2.0","-2.4","-1.1","-3.2"
"11377","24","0.1","-10.8","-8.6","-2.2","4.0","8.8","10.6","10.5","2.4","1.4","-0.7","-4.4"
"11378","25","-0.4","-10.8","-9.1","-4.0","5.7","10.0","12.7","9.5","2.8","2.0","-1.3","-3.2"
"11379","26","-2.4","-5.8","-7.5","-2.6","6.7","12.3","10.2","9.5","4.5","1.9","1.4","2.3"
"11380","27","-5.0","-6.1","-6.6","-0.9","8.8","13.0","9.7","13.2","5.6","6.5","-0.1","1.0"
"11381","28","-4.6","-6.0","-4.1","-1.7","5.9","16.7","9.2","12.4","2.8","5.4","-1.7","2.4"
"11382","29","-5.2","-","-0.2","-1.1","5.4","18.4","10.5","9.3","3.3","7.3","1.2","3.0"
"11383","30","-4.6","-","2.2","-0.2","9.6","14.2","11.3","9.7","5.3","7.7","-2.9","4.0"
"11384","31","-4.9","-","2.0","-","12.9","-","13.3","7.7","-","7.2","-","4.3"
"11385","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"11386","Minimum","-13.7","-11.1","-9.1","-4.7","0.0","3.0","7.0","7.7","2.0","-2.4","-8.2","-6.2"
"11387","Date","19","23","25","3","14","8","13","21","23","23","8","12"
"11388","Maximum","3.6","2.9","2.2","3.3","12.9","18.4","16.1","16.7","14.7","8.2","6.0","4.5"
"11389","Date","14","14","30","17","31","29","5","1","9","6","2","16"
"11390","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11391","Mean","-3.5","-4.1","-4.5","-0.2","4.0","10.3","10.4","11.1","6.7","3.0","-2.4","-0.5"
"11392","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11393","Deviation","0.3","-0.4","-2.2","-0.9","-1.1","1.1","-1.4","0.2","-0.2","-0.2","-1.8","2.2"
"11394","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11396","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11397","1","0.5","-6.2","0.9","-4.0","2.1","8.0","22.7","12.1","10.9","10.3","2.2","-1.3"
"11398","2","3.0","-7.9","-1.4","-3.0","3.7","8.2","20.8","15.6","9.2","6.7","0.4","-0.8"
"11399","3","2.9","-7.5","-3.5","-1.8","4.0","7.8","22.5","15.1","5.5","8.8","1.9","1.6"
"11400","4","-1.3","-4.9","-5.1","0.2","2.8","7.9","22.1","14.9","3.3","4.9","2.5","3.2"
"11401","5","-1.1","-6.3","-3.7","2.5","4.7","7.9","19.8","11.6","2.3","2.2","1.3","1.1"
"11402","6","2.9","-1.1","-3.8","3.1","4.6","10.2","17.0","12.3","3.8","1.7","2.2","0.2"
"11403","7","3.9","0.5","-5.1","4.4","2.6","14.2","14.3","14.7","8.6","6.1","-0.5","1.2"
"11404","8","3.1","-3.4","-2.8","2.8","3.2","13.2","21.4","13.8","12.4","4.4","2.6","-0.5"
"11405","9","3.0","-5.3","-4.3","1.7","3.3","9.0","12.9","15.6","8.2","6.9","-1.6","1.4"
"11406","10","2.0","-3.2","-4.2","1.8","3.6","11.1","14.2","15.3","10.3","4.1","1.3","1.9"
"11407","11","0.1","-5.3","1.8","3.1","3.6","9.9","17.2","11.9","8.7","3.4","-2.5","1.0"
"11408","12","-5.0","-8.5","0.1","2.5","3.3","9.3","15.5","10.1","9.2","2.9","-4.0","0.7"
"11409","13","-3.5","-1.8","-2.3","2.2","2.9","9.5","13.2","10.0","8.6","6.8","-2.4","1.0"
"11410","14","-3.6","-1.3","-3.7","3.7","4.0","8.3","13.7","12.6","8.4","8.7","-1.9","0.3"
"11411","15","0.1","0.0","-2.6","3.8","6.3","7.2","15.7","11.8","8.2","3.7","-1.2","2.8"
"11412","16","0.3","-2.7","-0.1","3.5","6.4","8.6","12.8","12.5","7.5","1.8","1.5","3.3"
"11413","17","-0.7","-2.1","-0.6","1.8","7.6","12.0","11.4","13.8","7.8","1.8","1.2","2.6"
"11414","18","-2.2","1.5","4.1","1.3","10.0","16.8","9.2","12.4","5.3","0.4","-2.1","-0.7"
"11415","19","-4.1","2.4","4.8","0.5","10.6","18.2","10.3","9.4","4.0","2.4","-0.7","5.2"
"11416","20","-6.1","3.4","2.9","3.2","10.9","9.2","10.8","12.8","6.9","1.4","-4.0","7.3"
"11417","21","-2.4","1.8","4.6","1.4","9.0","12.3","9.1","11.4","7.1","-1.2","-1.4","6.0"
"11418","22","-0.2","0.0","-0.3","-0.1","7.9","15.7","8.8","8.4","7.5","-1.8","-2.7","3.4"
"11419","23","3.2","0.8","-2.7","-2.9","8.4","15.9","10.0","10.9","7.8","2.4","0.2","3.4"
"11420","24","2.9","3.7","-2.4","-3.4","9.4","14.0","10.6","12.5","6.2","3.3","-0.1","4.0"
"11421","25","3.2","-3.0","-1.0","0.5","10.4","17.8","10.2","11.1","6.7","-0.1","0.3","0.3"
"11422","26","-0.3","-4.2","-3.4","0.5","9.6","19.8","9.3","9.9","0.5","3.4","2.4","4.4"
"11423","27","0.0","-5.3","-5.6","-0.9","8.7","19.8","9.7","10.7","3.6","2.2","3.6","4.6"
"11424","28","-0.4","-1.3","-2.0","-0.5","2.3","18.4","10.6","8.1","4.6","1.8","2.4","5.1"
"11425","29","2.4","1.1","-0.9","1.0","1.6","19.7","12.6","6.5","5.9","-1.1","-0.3","4.8"
"11426","30","-0.4","-","-2.7","0.5","2.8","22.7","13.0","7.5","8.3","-3.1","-2.7","5.2"
"11427","31","-7.0","-","-1.7","-","5.6","-","13.4","9.9","-","0.6","-","2.3"
"11428","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"11429","Minimum","-7.0","-8.5","-5.6","-4.0","1.6","7.2","8.8","6.5","0.5","-3.1","-4.0","-1.3"
"11430","Date","31","12","27","1","29","15","22","29","26","30","12","1"
"11431","Maximum","3.9","3.7","4.8","4.4","10.9","22.7","22.7","15.6","12.4","10.3","3.6","7.3"
"11432","Date","7","24","19","7","20","30","1","2","8","1","27","20"
"11433","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"11434","Mean","-0.2","-2.3","-1.5","1.0","5.7","12.8","14.0","11.8","6.9","3.1","-0.1","2.4"
"11435","Normal","-3.8","-3.7","-2.3","0.7","5.1","9.2","11.8","10.9","6.9","3.2","-0.6","-2.7"
"11436","Deviation","3.6","1.4","0.8","0.3","0.6","3.6","2.2","0.9","0.0","-0.1","0.5","5.1"
"11437","%","-","-","-","-","-","-","-","-","-","-","-","-"
"11438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11439","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"11440","1","3.3","2.5","-11.2","1.5","3.1","14.7","14.1","11.5","10.4","5.9","7.2","-6.5"
"11441","2","2.8","0.8","-9.6","2.2","5.6","7.7","17.9","9.6","10.2","6.1","1.9","-5.7"
"11442","3","-2.8","-2.9","-9.3","2.3","2.8","10.5","11.5","10.9","9.1","6.8","0.4","-3.7"
"11443","4","0.9","-3.4","1.6","1.6","1.1","10.4","8.7","10.5","8.9","6.2","3.4","-5.0"
"11444","5","1.0","0.4","-2.0","0.3","2.6","7.5","11.3","12.8","9.4","3.4","1.2","-6.3"
"11445","6","-1.9","-3.7","0.0","1.0","4.0","7.4","12.5","11.6","8.6","0.6","1.1","-6.3"
"11446","7","-0.4","-12.1","-1.2","1.1","3.9","6.4","18.4","10.9","7.2","0.1","-4.7","-7.9"
"11447","8","-1.0","-4.8","0.2","1.0","4.1","7.3","21.8","9.7","7.9","-1.6","-4.9","-6.9"
"11448","9","2.6","-6.9","2.1","0.6","5.7","6.6","11.2","9.1","6.2","-1.5","0.0","-7.5"
"11449","10","2.0","-3.5","-0.7","-0.1","5.8","10.1","15.9","11.6","4.6","-0.9","-2.1","-5.3"
"11450","11","4.6","-7.0","2.3","-0.8","7.3","8.4","13.6","12.7","0.9","-0.6","-4.7","0.0"
"11451","12","5.3","-0.8","0.8","0.8","6.9","8.4","11.3","11.9","2.2","-1.1","-4.4","-2.3"
"11452","13","0.8","-1.3","-4.5","0.1","7.0","6.5","14.0","10.3","2.9","-0.1","-5.5","-4.8"
"11453","14","1.4","-3.4","-3.5","-2.6","5.4","7.2","17.0","11.8","2.4","-2.6","-3.6","-4.9"
"11454","15","3.3","-2.3","0.8","-0.1","2.7","6.3","14.0","10.1","5.2","-0.2","-3.6","-4.5"
"11455","16","-0.4","-2.5","-5.6","0.3","3.4","6.5","13.6","9.5","6.3","-2.1","-8.5","-4.9"
"11456","17","-1.6","-2.5","-4.8","1.3","7.1","7.2","12.1","10.5","5.9","0.5","-3.5","-5.8"
